Type of Incident,Year of Incident
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2023
ROBBERY OF BUSINESS,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2023
CRIMINAL TRESPASS WARNING,2020
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2019
BMV,2019
POSS CONT SUB PEN GRP 1 > OR EQUAL 1G<4G,2022
ASSAULT (AGG) -DEADLY WEAPON,2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
ROBBERY OF INDIVIDUAL (AGG),2019
NATURAL DEATH (NO OFFENSE),2019
FRAUD EXPLOITATION OF CHILD/ELDERLY/DISABLED( PC 32.53(c)),2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2019
"CRIM MISCHIEF > OR EQUAL $2,500 < $30K",2019
ROBBERY OF INDIVIDUAL (AGG),2021
BMV,2017
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2021
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
THEFT OF SERVICE > OR EQUAL $100 <$750 PC31.04(e2),2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2014
BURGLARY OF BUILDING - FORCED ENTRY,2019
SEIZED PROPERTY (NO OFFENSE),2020
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2017
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2017
"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",2022
CRIM MISCHIEF >OR EQUAL $100 BUT <$750,2016
"THEFT OF PROP > OR EQUAL $750 <$2,500 (NOT SHOPLIFT) PC31.03(e3)",2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
"THEFT OF PROP > OR EQUAL $2,500 <$30K (EMPLOYEE) PC31.03(e4A)",2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2019
ROBBERY OF INDIVIDUAL (AGG),2016
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
THEFT BY DECEPTION (FRAUD) >OR EQUAL $100 <$750,2021
FOUND PROPERTY (NO OFFENSE),2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
BURGLARY OF HABITATION -NO FORCED ENTRY,2020
CRIM MISCHIEF > OR EQUAL $100 < $750,2022
TRAFFIC VIOLATION - HAZARDOUS,2020
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2020
TRAF VIO -DUTY ON STRIKE UNATTENDED VEH > OR EQUAL $200,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",2022
ABANDONED PROPERTY (NO OFFENSE),2020
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2020
ASSAULT -VERBAL THREAT,2015
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2019
CRIM MISCHIEF > OR EQUAL $100 < $750,2019
CRIM MISCHIEF > OR EQUAL $100 < $750,2020
CREDIT CARD OR DEBIT CARD ABUSE,2022
RECOVERED OUT OF TOWN STOLEN PROPERTY (NO OFFENSE),2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
BURGLARY OF BUILDING - FORCED ENTRY,2023
BMV,2014
THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),2022
PUBLIC INTOXICATION,2020
"THEFT OF PROP > OR EQUAL $750 <$2,500 (NOT SHOPLIFT) PC31.03(e3)",2018
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
CRIMINAL TRESPASS WARNING,2019
ROBBERY OF INDIVIDUAL (AGG),2020
CRIM MISCHIEF > OR EQUAL $100 < $750,2022
HARASSMENT,2018
BMV,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2019
SEIZED PROPERTY (NO OFFENSE),2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
BURGLARY OF HABITATION - FORCED ENTRY,2014
TRAFFIC VIOLATION - NON HAZARDOUS,2020
ACCIDENT INV DAMAGE TO VEHICLE <$200,2022
TRAF VIO -DUTY ON STRIKE UNATTENDED VEH > OR EQUAL $200,2023
FOUND PROPERTY (NO OFFENSE),2020
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2021
BURGLARY - PRELIMINARY INVESTIGATION,2022
FOUND PROPERTY (NO OFFENSE),2020
MAN DEL CONT SUB PEN GRP 1 > OR EQUAL 1G<4G,2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2023
ABANDONED PROPERTY (NO OFFENSE),2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
BMV,2018
BURGLARY OF BUILDING - FORCED ENTRY,2018
ASSAULT (AGG) -DEADLY WEAPON,2021
LOST PROPERTY (NO OFFENSE),2023
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2019
SEIZED PROPERTY (NO OFFENSE),2019
ABANDONED PROPERTY (NO OFFENSE),2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",2022
CRIMINAL TRESPASS WARNING,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2014
CRIMINAL TRESPASS WARNING,2019
BMV,2023
BMV,2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2018
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
STALKING,2022
BURGLARY OF BUILDING - FORCED ENTRY,2016
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
BMV,2022
OTHER OFFENSE - MISDEMEANOR,2020
ABANDONED PROPERTY (NO OFFENSE),2023
SUSPICIOUS PERSON MIR (MISCELLANEOUS INCIDENT REPORT NO OFFENSE),2022
THEFT OF PROP (AUTO ACC) $50 BUT <$500 ENH - (NOT EMP,2014
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,2019
THEFT BY DECEPTION (FRAUD) >OR EQUAL $100 <$750,2022
BURGLARY OF HABITATION - FORCED ENTRY,2014
BURGLARY OF HABITATION - FORCED ENTRY,2017
CRIM MISCHIEF > OR EQUAL $100 < $750,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2015
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2022
BMV,2022
ROBBERY OF BUSINESS (AGG),2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
THEFT FROM BUILDING> OR EQUAL $100<$750 (NOT SHOPLIFT),2022
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2020
"CRIM MISCHIEF >OR EQUAL $750 < $2,500",2020
ROBBERY OF INDIVIDUAL (AGG),2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2019
DISCHARGE FIREARM IN CERTAIN MUNICIPALITIES,2022
PUBLIC INTOXICATION,2020
THEFT OF PROP > OR EQUAL $30K <$150K (NOT SHOPLIFT) PC31.03(e5),2023
CRIMINAL TRESPASS WARNING,2023
ASSAULT -VERBAL THREAT,2019
BMV,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2017
THEFT OF PROP > OR EQUAL $30K <$150K (NOT SHOPLIFT) PC31.03(e5),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
ASSAULT (AGG) -DEADLY WEAPON,2016
ROBBERY OF INDIVIDUAL - PRELIMINARY INVESTIGATION,2022
ROBBERY OF BUSINESS (AGG),2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
POSS MARIJUANA >4OZ< OR EQUAL 5LBS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
BMV,2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2019
EVADING ARREST DETENTION W/VEH OR WATERCRAFT,2022
BURGLARY OF HABITATION -NO FORCED ENTRY,2023
"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",2023
ROBBERY OF BUSINESS,2021
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2017
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
FOUND PROPERTY (NO OFFENSE),2019
CRIMINAL TRESPASS WARNING,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
PUBLIC INTOXICATION,2019
SEIZED PROPERTY (NO OFFENSE),2020
OTHER OFFENSE - MISDEMEANOR,2020
FOUND PROPERTY (NO OFFENSE),2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2020
FOUND PROPERTY (NO OFFENSE),2017
KEEPING A GAMBLING PLACE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
ROBBERY OF INDIVIDUAL (AGG),2021
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2019
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2018
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2020
HARASSMENT-REPEATED ELECTRONIC COMMUNICATION,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2016
CREDIT CARD OR DEBIT CARD ABUSE - PRELIMINARY INVESTIGATION,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2023
ABANDONED PROPERTY (NO OFFENSE),2023
CRIMINAL TRESPASS WARNING,2020
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2021
ABANDONED PROPERTY (NO OFFENSE),2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
FRAUD USE/POSS IDENTIFYING INFO # ITEMS < 5,2018
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
BMV,2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2017
DEADLY CONDUCT DISCHARGE FIREARM,2020
CRIM MISCHIEF > OR EQUAL $100 < $750,2022
FOUND PROPERTY (NO OFFENSE),2020
FORGERY FINANCIAL INSTRUMENT,2022
PUBLIC INTOXICATION,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
FOUND PROPERTY (NO OFFENSE),2019
BMV,2023
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
BURGLARY OF HABITATION - FORCED ENTRY,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
ROBBERY OF INDIVIDUAL (AGG),2021
THEFT OF FIREARM,2020
HARASSMENT,2019
BMV,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
CRIMINAL TRESPASS WARNING,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2015
RESIST ARREST SEARCH OR TRANSPORT,2020
BMV,2018
ABANDONED PROPERTY (NO OFFENSE),2019
BURGLARY OF BUILDING - FORCED ENTRY,2018
TRAF VIO -DUTY ON STRIKE UNATTENDED VEH > OR EQUAL $200,2023
UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,2020
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
BMV,2022
RECOVERED OUT OF TOWN STOLEN PROPERTY (NO OFFENSE),2014
ABANDONED PROPERTY (NO OFFENSE),2020
CRIM MISCHIEF >OR EQUAL $100 BUT <$750,2017
THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),2023
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2020
ROBBERY OF INDIVIDUAL (AGG),2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
BMV,2022
ASSAULT (AGG) -DEADLY WEAPON,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2019
BMV,2023
THEFT OF PROP (AUTO ACC) > OR EQUAL $100 <$750 (NOT EMP)PC31.03(e2A),2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2020
POSS MARIJUANA <2OZ,2023
BMV,2022
UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,2017
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2019
LOST PROPERTY (NO OFFENSE),2022
ABANDONED PROPERTY (NO OFFENSE),2022
BMV,2022
"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",2022
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2019
FRAUD USE/POSS IDENTIFYING INFO-PRELIMINARY INVESTIGATION,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
THEFT FROM BUILDING> OR EQUAL $100<$750 (NOT SHOPLIFT),2022
ABANDONED PROPERTY (NO OFFENSE),2023
THEFT OF PROP > OR EQUAL $100 BUT <$750- NOT SHOPLIFT,2017
"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNLAWFUL CARRYING WEAPON,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
PUBLIC INTOXICATION,2020
ABANDONED PROPERTY (NO OFFENSE),2019
ASSAULT (AGG) -DEADLY WEAPON,2020
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2018
FRAUD USE/POSS IDENTIFYING INFO # ITEMS < 5,2021
BURGLARY OF BUILDING - FORCED ENTRY,2014
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
FORGERY FINANCIAL INSTRUMENT > OR EQUAL $750<$2500 IAT,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
CRUELTY TO NON-LIVESTOCK ANIMALS TORTURE,2019
BURGLARY OF BUILDING - FORCED ENTRY,2018
FOUND PROPERTY (NO OFFENSE),2020
FOUND PROPERTY (NO OFFENSE),2019
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2016
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
CRIMINAL TRESPASS AFFIDAVIT,2023
ROBBERY OF BUSINESS (AGG),2022
"THEFT OF PROP > OR EQUAL $750 <$2,500 (NOT SHOPLIFT) PC31.03(e3)",2018
LOST PROPERTY (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
THEFT FROM BUILDING> OR EQUAL $100<$750 (NOT SHOPLIFT),2022
UNEXPLAINED DEATH (NO OFFENSE),2022
NATURAL DEATH (NO OFFENSE),2021
LOST PROPERTY (NO OFFENSE),2022
RECKLESS DAMAGE,2022
BMV,2015
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
BURGLARY OF HABITATION - FORCED ENTRY,2015
THEFT OF SERVICE < $100,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
BMV,2022
BURGLARY OF BUILDING - FORCED ENTRY,2018
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
LOST PROPERTY (NO OFFENSE),2022
BMV,2021
BMV,2022
BMV,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
BURGLARY OF HABITATION -NO FORCED ENTRY,2018
PUBLIC INTOXICATION,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
THEFT OF PROP > OR EQUAL $30K <$150K (NOT SHOPLIFT) PC31.03(e5),2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2019
SEIZED PROPERTY (NO OFFENSE),2020
UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,2020
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2021
TRAF VIO -DUTY ON STRIKE UNATTENDED VEH < $200,2020
PUBLIC INTOXICATION,2014
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
FOUND PROPERTY (NO OFFENSE),2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
ABANDONED PROPERTY (NO OFFENSE),2019
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
THEFT OF PROP (AUTO ACC) > OR EQUAL $100 <$750 (NOT EMP)PC31.03(e2A),2019
BMV,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2016
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
BMV,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2020
MAN DEL CONT SUB PEN GRP 1 > OR EQUAL 1G<4G,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2016
UNEXPLAINED DEATH (NO OFFENSE),2022
ASSAULT (AGG) -DEADLY WEAPON,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
ACCIDENT INV DAMAGE TO VEHICLE <$200,2023
NATURAL DEATH (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
ROBBERY OF INDIVIDUAL (AGG),2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
TRAF VIO -DRIV W/OUT LIC INV W/PREV CONV/SUSP/W/O FIN RES,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2018
BMV,2017
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
BMV,2022
UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,2019
SEIZED PROPERTY (NO OFFENSE),2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2014
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2018
CRIMINAL TRESPASS WARNING,2023
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2021
THEFT OF PROP > OR EQUAL $50 BUT <$500 -SHOPLIFT (NOT EMP,2014
CRIMINAL TRESPASS WARNING,2020
BURGLARY OF HABITATION - FORCED ENTRY,2021
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2020
CRIMINAL TRESPASS WARNING,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
ASSAULT -VERBAL THREAT,2019
BMV,2022
ASSAULT (AGG) -DISCH FIREARM  OCC BLDG/HOUSE/VEH (AGG),2020
SEIZED PROPERTY (NO OFFENSE),2020
BURGLARY OF BUILDING - NO FORCED ENTRY,2018
BMV,2023
ASSAULT (AGG) -DEADLY WEAPON,2021
CRIMINAL TRESPASS AFFIDAVIT,2020
FOUND PROPERTY (NO OFFENSE),2019
POSS MARIJUANA >4OZ< OR EQUAL 5LBS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2019
CRIM MISCHIEF > OR EQUAL $100 < $750,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),2018
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2018
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2018
FOUND PROPERTY (NO OFFENSE),2019
ASSAULT (AGG) -DEADLY WEAPON,2020
BURGLARY OF BUILDING - NO FORCED ENTRY,2018
FRAUD USE/POSS IDENTIFYING INFO # ITEMS 5<10,2018
FOUND PROPERTY (NO OFFENSE),2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
BMV,2019
BMV,2022
KEEPING A GAMBLING PLACE,2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
FORGERY- PRELIMINARY INVESTIGATION,2019
CRIM MISCHIEF > OR EQUAL $100 < $750,2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2018
PUBLIC INTOXICATION,2019
BURGLARY OF HABITATION - FORCED ENTRY,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
ROBBERY OF BUSINESS,2017
BMV,2022
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2019
PUBLIC INTOXICATION,2022
BURGLARY OF BUILDING - FORCED ENTRY,2023
"CRIM MISCHIEF >OR EQUAL $750 < $2,500",2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
HARASSMENT,2017
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2020
CRIMINAL TRESPASS WARNING,2023
"THEFT OF PROP > OR EQUAL $750 <$2,500 (SHOPLIFT-NOT EMP) PC31.03(e3)",2022
FAIL TO ID -GIVING FALSE/FICTITIOUS INFO PC 38.02(c)(2),2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
THEFT FROM PERSON,2019
BURGLARY OF BUILDING - FORCED ENTRY,2018
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
POSS MARIJUANA <2OZ,2022
PUBLIC INTOXICATION,2019
UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,2019
"CRIM MISCHIEF > OR EQUAL $2,500 < $30K",2022
UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
BMV,2022
BMV,2022
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2021
BMV,2022
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2020
"CRIM MISCHIEF >OR EQUAL $750 < $2,500",2019
CRIMINAL TRESPASS WARNING,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2015
LOST PROPERTY (NO OFFENSE),2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
SEIZED PROPERTY (NO OFFENSE),2020
"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",2022
"THEFT OF PROP > OR EQUAL $750 <$2,500 (NOT SHOPLIFT) PC31.03(e3)",2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
